provider_name,eik,municipality,settlement,address,social_service,target_group,license_number,license_validity,license_modified_number,license_modified_validity,license_renewed_number,license_renewed_validity,violations
"""АРБАЙТСФЕРМИТЛУНГ ЕУ ПЕРСОНАЛ СЪРВИЗ"" ЕООД",203687555,Столична,гр. София,"р-н Оборище, ул. ""Бачо Киро"" № 35, вх. А, ет. 4, ап. 11",Асистентска подкрепа,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат опрделена по съответния ред степен на намалена работоспособност",Л-3129-1721/08.09.2023 г.,07.09.2028 г.,,,,,
"СДРУЖЕНИЕ ""БАЛКАНИ БЕЗ ГРАНИЦИ""",175479569,Благоевград,гр. Благоевград,"ул. ""Тодор Александров"" № 110, ет. 1, офис-външен вход",Застъпничество и посредничество; Информиране и консултиране,Пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; техните семейства и близки; възрастни хора в надтрудоспособна възраст; пълнолетни лица от уязвими общности или групи,Л-3129-1722/13.09.2023 г.; Л-3129-1723/13.09.2023 г.,12.09.2028 г.,ЛПО-1-3129-1722/15.08.2024 г.,12.09.2028 г.,,,
"СДРУЖЕНИЕ ""ПРАВОДАРЯ""",205599506,Столична,гр. София,"район Люлин, ж.к. ""Люлин"", бл. 821, вх. А, ап. 9",Дневна грижа; Общностна работа; Осигуряване на подслон; Информиране и консултиране; Терапия и рехабилитация; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения; Застъпничество и посредничество,Деца с трайни увреждания,Л-3129-1730/18.09.2023 г.; Л-3129-1764/19.10.2023 г.; Л-3129-1765/19.10.2023 г.; Л-3129-1766/19.10.2023 г.; Л-3129-1767/19.10.2023 г.; Л-3129-1768/19.10.2023 г.; Л-3129-1769/19.10.2023 г.; Л-3129-1770/19.10.2023 г.,17.09.2028 г.,,,,,
"ФОНДАЦИЯ ""АСТРА ФОРУМ""",206368363,Столична,гр. София,"район ""Оборище"", ул. ""Будапеща"" № 25, ет. 2",Информиране и консултиране; Терапия и рехабилитация; Обучение за придобиване на умения,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; деца и пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; деца и пълнолетни лица от уязвими общности или групи; техните семейства и близки",Л-3129-1736/20.09.2023 г.; Л-3129-1737/20.09.2023 г.; Л-3129-1738/20.09.2023 г.,19.09.2028 г.,,,,,
"ЕТ ""ВАЛЕРИ ШЕКЕРОВ""",202363536,Сатовча,с. Плетена,"махала ""Забърдо"" № 1",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1740/21.09.2023 г.,20.09.2028 г.,,,,,
"""КЕЙ ТИ МОУШЪН"" ЕООД",207280838,Столична,гр. София,"р-н Триадица, бул. ""България"" № 49 А, ет. 3, офис 28",Обучение за придобиване на умения,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; деца и пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; възрастни хора в надтрудоспособна възраст; лица, които полагат грижи за пълнолетни лица; деца и пълнолетни лица от уязвими общности или групи; техните семейства и близки",Л-3129-1741/25.09.2023 г.,24.09.2028 г.,,,,,
"СДРУЖЕНИЕ ""АГРОБИЗНЕСЦЕНТЪР-КУБРАТ""",116518440,Кубрат,гр. Кубрат,"ул. ""Борис I"" № 15",Подкрепа за придобиване на трудови умения; Информиране и консултиране,"Деца с трайни увреждания, навършили 16-годишна възраст, и пълнолетни лица с трайни увреждания",Л-3129-1744/29.09.2023 г.; Л-3129-1745/29.09.2023 г.,28.09.2028 г.,,,,,
"ДСХ ""СВ. ИВАН РИЛСКИ - 75"" ООД",200688189,Рила,гр. Рила,"ул. ""Александър Стамболийски"" № 16",Резидентна грижа,Пълнолетни лица с деменция,Л-3129-2034/10.12.2024 г.,09.12.2029 г.,ЛПО-1-3129-2034/30.05.2025 г.,09.12.2029 г.,,,
"""МЕЗОН ТАНДЖЕРИН"" ЕООД",206503590,Столична,гр. София,"р-н Красно село, ул. ""Ястребец"" № 9А, вх. Б, ет. 4, ап. 10",Информиране и консултиране; Застъпничество и посредничество; Общностна работа; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; деца и пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; възрастни хора в надтрудоспособна възраст; лица, които полагат грижи за пълнолетни лица; деца и пълнолетни лица от уязвими общности или групи; техните семейства и близки",Л-3129-1749/05.10.2023 г.; Л-3129-1750/05.10.2023 г.; Л-3129-1751/05.10.2023 г.; Л-3129-1752/05.10.2023 г.; Л-3129-1753/05.10.2023 г.,04.10.2028 г.,,,,,
"""ЛАЙФ КЛУБ"" ЕООД",204820510,Пловдив,гр. Пловдив,"р-н Централен, ж.к. Каменица, ул. ""Добри Войников"" № 46, ап. 10",Информиране и консултиране; Резидентна грижа; Терапия и рехабилитация,"Пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация, вследствие от употреба на психоактивни вещества и други форми на зависимост",Л-3129-1772/24.10.2023 г.; Л-3129-1773/24.10.2023 г.; Л-3129-1774/24.10.2023 г.,23.10.2028 г.,,,,,
"""АНЕЛ КЪМПАНИ"" ООД",207462634,Пловдив,гр. Пловдив,"район ""Централен"", ул. ""Света гора"" № 2",Терапия и рехабилитация,Всички деца; деца в риск по смисъла на Закона за закрила на детето; деца и пълнолетни лица с увреждания; техните семейства и близки,Л-3129-1785/29.11.2023 г.,28.11.2028 г.,,,,,
"""ПРАЙМ ТУРИСТ МЕНИДЖМЪНТ"" ЕООД",175173921,Стралджа,с. Зимница,"ул. ""Тодор Василев"" № 35",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1790/08.12.2023 г.; Л-3129-2138/07.10.2025 г.,07.12.2028 г.,,,,,
"""ЦЕНТЪР ЗА КОМПЛЕКСНО ОБСЛУЖВАНЕ НА ДЕЦА С УВРЕЖДАНИЯ И ХРОНИЧНИ ЗАБОЛЯВАНИЯ - БУЗОВГРАД""",177477047,Казанлък,с. Бузовград,"ул. ""Г. С. Раковски"" № 29",Резидентна грижа,Деца с трайни увреждания с потребност от постоянни медицински грижи,Л-3129-1792/08.12.2023 г.,07.12.2028 г.,,,,,
"""ЦЕНТЪР ЗА КОМПЛЕКСНО ОБСЛУЖВАНЕ НА ДЕЦА С УВРЕЖДАНИЯ И ХРОНИЧНИ ЗАБОЛЯВАНИЯ - ХАСКОВО""",177477143,Хасково,гр. Хасково,"ул. ""Видин"" № 14",Резидентна грижа,Деца с трайни увреждания с потребност от постоянни медицински грижи,Л-3129-1793/11.12.2023 г.,10.12.2028 г.,,,,,
"""ЛОГОЕКСПЕРТ"" ООД",201471158,Столична,гр. София,"р-н Студентски, ул. ""Пъстър свят"" № 6Б, ет. 1, ап. 2",Информиране и консултиране,Всички деца; деца в риск по смисъла на Закона за закрила на детето; деца с увреждания; техните семейства и близки,Л-3129-1796/20.12.2023 г.,19.12.2028 г.,,,,,
"""ДЕКОН ПЛОВДИВ ЮГ"" ООД",207553030,Пловдив,гр. Пловдив,"р-н Южен, кв. ""Беломорски"" № 59",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1798/28.12.2023 г.,27.12.2028 г.,,,,,"АКД-37/26.06.2025 - чл. 31, ал. 1 и ал. 2 от ЗСУ, предоставяне на социална услуга без издаден лиценз; сключено споразумение за прекратяване на админ. производство с № С-АНП-25/31.07.2025"
"""АХИЛ ХОРСЕС"" ЕООД",203135635,Столична,гр. София,"р-н Лозенец, ж.к. ""Лозенец"", ул. ""Горски пътник"" № 23А, ет. 1, ап. 2",Терапия и рехабилитация,Всички деца; деца в риск по смисъла на Закона за закрила на детето; деца с увреждания; техните семейства и близки,Л-3129-1802/28.12.2023 г.,27.12.2028 г.,,,,,
"""РЕНАТО ИНВЕСТМЪНТС"" ЕООД",207604902,Казанлък,гр. Казанлък,"ул. ""Рила"" № 6, ет. 4, офис 7",Асистентска подкрепа,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат определена по съответния ред степен на намалена работоспособност; пълнолетни лица с трайни увреждания с определена чужда помощ, които не ползват асистентска подкрепа, помощ за осигуряване на асистентска подкрепа или за които не се получава помощ за грижа в домашна среда по реда на друг закон",Л-3129-1808/04.01.2024 г.,03.01.2029 г.,,,,,
"""ПРОМЯНАТА Е ЖИВОТ - СОФИЯ"" ЕООД",207596626,Столична,гр. София,"район ""Оборище"", ул. ""Франсис Де Пресансе"" № 3, ет. 4, ап. 12",Резидентна грижа; Терапия и рехабилитация; Обучение за придобиване на умения; Информиране и консултиране; Застъпничество и посредничество,"Пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация, вследствие на употреба на психоактивни вещества и други форми на зависимост",Л-3129-1809/05.01.2024 г.; Л-3129-1906/27.05.2024 г.; Л-3129-1907/27.05.2024 г.; Л-3129-1908/27.05.2024 г.; Л-3129-1909/27.05.2024 г.,04.01.2029 г.,ЛПО-1-3129-1809/08.08.2025 г.,04.01.2029 г.,,,
"СДРУЖЕНИЕ ""СПОРТЕН КЛУБ АДАПТИРАНИ СПОРТОВЕ - КЮСТЕНДИЛ""",207149949,Кюстендил,гр. Кюстендил,"ул. ""Жельо Демиревски"" № 24",Терапия и рехабилитация,Деца и пълнолетни лица с трайни увреждания; техните семейства и близки,Л-3129-1815/02.02.2024 г.,01.02.2029 г.,,,,,
"""ХЕЛФЕН"" ЕООД",207664244,Столична,гр. София,"район ""Триадица"", ул. ""Гургулят"" № 29",Асистентска подкрепа,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат определена по съответния ред намалена работоспособност; деца с трайни увреждания и пълнолетни лица с трайни увреждания с определена чужда помощ, които не ползват асистентска подкрепа, помощ за осигуряване на асистентска подкрепа или за които не се получава помощ за грижа в домашна среда по реда на друг закон",Л-3129-1819/15.02.2024 г.,14.02.2029 г.,,,,,
"""БИЕСБИ-24"" ЕООД",203423064,Казанлък,гр. Казанлък,"ул. ""Рила"" № 6, ет. 4, офис 7",Асистентска подкрепа,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат определена по съответния ред намалена работоспособност; пълнолетни лица с трайни увреждания с определена чужда помощ, които не ползват асистентска подкрепа, помощ за осигуряване на асистентска подкрепа или за които не се получава помощ за грижа в домашна среда по реда на друг закон",Л-3129-1827/21.02.2024 г.,20.02.2029 г.,,,,,
"ФОНДАЦИЯ ""ЗЛАТО""",207051864,Столична,гр. София,"р-н Подуяне, ж.к. Левски-В, ул. 570 № 2",Информиране и консултиране; Общностна работа; Терапия и рехабилитация,Деца и пълнолетни лица (младежи до 29 г.) с онкологични заболявания; техните семейства и близки,Л-3129-1828/23.02.2024 г.; Л-3129-1829/23.02.2024 г.; Л-3129-1950/15.07.2024 г.,22.02.2029 г.,,,,,
"""ВИТАЛ ПРОГРЕС"" ЕООД",203932257,Ситово,с. Попина,"ул. ""Трети март"" № 20",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1839/27.02.2024 г.; Л-3129-2120/04.08.2025 г.,26.02.2029 г.,,,,,
"""ДОМ ЗА ВЪЗРАСТНИ АРКАДИЯ"" ЕООД",204134536,Столична,гр. София,"р-н Лозенец, ул. ""Цанко Церковски"" № 53, ет. 3, ап. 3",Резидентна грижа,Възрастни хора в надтрудоспособна възраст без увреждания,Л-3129-1840/28.02.2024 г.,27.02.2029 г.,,,,,
"СДРУЖЕНИЕ ""ЦЕНТЪР ЗА ПРИЛОЖНИ НЕВРОНАУКИ ВЕЗЕНКОВ""",205316303,Столична,гр. София,"район ""Искър"", ж.к. Дружба 2, ул. ""Делийска воденица"", бл. 330",Информиране и консултиране; Общностна работа; Обучение за придобиване на умения; Терапия и рехабилитация,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; деца с увреждания (с приоритет от аутистичния спектър) и пълнолетни лица с увреждания; техните семейства и близки",Л-3129-1847/01.03.2024 г.; Л-3129-1848/01.03.2024 г.; Л-3129-1849/01.03.2024 г.; Л-3129-1850/01.03.2024 г.,28.02.2029 г.,ЛПО-1-3129-1847/11.12.2024 г.,28.02.2029 г.,,,
"""ГРИЖОВНА"" ЕООД",207687079,Родопи,с. Брестовица,"ул. ""Цар Симеон I"" № 46",Асистентска подкрепа,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат определена по съответния степен на намалена работоспособност",Л-3129-1851/05.03.2024 г.,04.03.2029 г.,,,,,
"""ТОП АСИСТАНС"" ЕООД",207112461,Казанлък,гр. Казанлък,"ул. ""Македония"" № 8, ет. 1, ап. 3",Асистентска подкрепа,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат определена по съответния ред степен на намалена работоспособност; пълнолетни лица с трайни увреждания с определена чужда помощ, които не ползват асистентска подкрепа, помощ за осигуряване на асистентска подкрепа или за които не се получава помощ за грижа в домашна среда по реда на друг закон",Л-3129-1858/08.04.2024 г.,07.04.2029 г.,,,,,
"""БЪТЪРФЛАЙ ЕВОЛЮШЪН"" ЕООД",207736284,Столична,гр. София,"р-н Лозенец, ул. ""Сава Огнянов"" № 22, ет. 1, ап. 1",Терапия и рехабилитация; Информиране и консултиране,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители; деца с увреждания (с приоритет от аутистичния спектър) и пълнолетни лица с увреждания; техните семейства и близки",Л-3129-1859/10.04.2024 г.; Л-3129-1860/10.04.2024 г.,09.04.2029 г.,,,,,
"""РЕНАТО ГРУП"" ЕООД",204088943,Казанлък,гр. Казанлък,"ул. ""Рила"" № 6, ет. 4, офис 7",Асистентска подкрепа,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат определена по съответния ред степен на намалена работоспособност; пълнолетни лица с трайни увреждания с определена чужда помощ, които не ползват асистентска подкрепа, помощ за осигуряване на асистентска подкрепа или за които не се получава помощ за грижа в домашна среда по реда на друг закон",Л-3129-1861/10.04.2024 г.,09.04.2029 г.,,,,,
"""ДЕВИ"" ЕООД",112653526,Велинград,гр. Велинград,"ул. ""Борислав"" № 27",Застъпничество и посредничество; Информиране и консултиране; Обучение за придобиване на умения; Общностна работа; Подкрепа за придобиване на трудови умения; Терапия и рехабилитация,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; деца и пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; лица, които полагат грижи за пълнолетни лица; уязвими общности или групи, техните семействата и близки",Л-3129-1863/17.04.2024 г.; Л-3129-1864/17.04.2024 г.; Л-3129-1865/17.04.2024 г.; Л-3129-1866/17.04.2024 г.; Л-3129-1867/17.04.2024 г.; Л-3129-1868/17.04.2024 г.,16.04.2029 г.,,,,,
"ФОНДАЦИЯ ""СЪСТРАДАНИЕ АЛЦХАЙМЕР БЪЛГАРИЯ""",103916768,Варна,гр. Варна,"р-н Младост, ул. ""Цанко Дюстабанов"" № 30, ет. 1, ап. 3",Обучение за придобиване на умения; Информиране и консултиране,"Пълнолетни лица с увреждания; възрастни хора в надтрудоспособна възраст; лица, които полагат грижи за пълнолетни лица; техните семейства и близки",Л-3129-1880/22.04.2024 г.; Л-3129-1881/22.04.2024 г.,21.04.2029 г.,,,,,
"СДРУЖЕНИЕ ""СДРУЖЕНИЕ ЕРЕМИТА-ЦЕНТЪР ПО ПСИХОТЕРАПИЯ""",207611875,Пловдив,гр. Пловдив,"ул. ""Беломорски"" № 46",Информиране и консултиране; Застъпничество и посредничество; Обучение за придобиване на умения; Общностна работа; Осигуряване на подслон; Терапия и рехабилитация,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за за осиновители и кандидати за приемни семейства; деца с увреждания; техните семейства и близки",Л-3129-1882/26.04.2024 г.; Л-3129-1883/26.04.2024 г.; Л-3129-1884/26.04.2024 г.; Л-3129-1885/26.04.2024 г.; Л-3129-1886/26.04.2024 г.; Л-3129-1933/20.06.2024 г.; Л-3129-1934/20.06.2024 г.,25.04.2029 г.,,,,,
"СДРУЖЕНИЕ ""РЕТО-НАДЕЖДА""",130453915,Столична,с. Войнеговци,"ул. ""Стара планина"" № 2",Терапия и рехабилитация; Осигуряване на подслон; Застъпничество и посредничество; Информиране и консултиране; Обучение за придобиване на умения; Общностна работа; Подкрепа за придобиване на трудови умения,"Пълнолетни лица в кризисна ситуация, имащи необходимост от преодоляване на такава и последиците от нея, вследствие на употреба на психоактивни вещества и други форми на зависимост",Л-3129-1888/07.05.2024 г.; Л-3129-1889/07.05.2024 г.; Л-3129-1951/17.07.2024 г.; Л-3129-1952/17.07.2024 г.; Л-3129-1953/17.07.2024 г.; Л-3129-1954/17.07.2024 г.; Л-3129-1955/17.07.2024 г.,06.05.2029 г.,,,,,
"""ФЕМИЛИ КЕЪР"" ООД",207702129,Бургас,гр. Бургас,"ж.к. Лесопарк ""Росенец"", ул. ""Роса"" № 1",Резидентна грижа,Възрастни хора в надтрудоспособна възрас,Л-3129-1905/15.05.2024 г.,14.05.2029 г.,,,,,
"ФОНДАЦИЯ ""СОШЪЛ ФЮЧЪР""",177206633,Столична,гр. София,"ж.к. Младост 2, бл. 281, вх. 5, ет. 1, ап. 1",Информиране и консултиране; Застъпничество и посредничество; Терапия и рехабилитация; Обучение за придобиване на умения; Подкрепа за придобиване на трудови умения,"Деца с трайни увреждания, навършили 16-годишна възраст; пълнолетни лица с увреждания; деца и пълнолетни лица от уязвими общности или групи; техните семейства и близки",Л-3129-1912/29.05.2024 г.; Л-3129-1913/29.05.2024 г.; Л-3129-1914/29.05.2024 г.; Л-3129-1915/29.05.2024 г.; Л-3129-1916/29.05.2024 г.,28.05.2029 г.,,,,,
"СДРУЖЕНИЕ ""БЪЛГАРСКА АСОЦИАЦИЯ ЗА РЕКРЕАЦИЯ, ИНТЕГРАЦИЯ И СПОРТ""",175804952,Столична,гр. София,"ж.к. ""Малинова долина"", бл. 27, вх. Д, ет. 6, ап. 83",Информиране и консултиране,"Пълнолетни лица с увреждания; лица, които полагат грижи за пълнолетни лица; техните семейства и близки",Л-3129-1923/07.06.2024 г.,06.06.2029 г.,,,,,
"ФОНДАЦИЯ ""ЛАЗАР ИВИЛИНОВ ТОДОРОВ""",207542500,Шумен,гр. Шумен,"пл. ""Оборище"" № 13Б",Общностна работа,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; деца и пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; възрастни хора в надтрудосопособна възраст; лица, които полагат грижи за пълнолетни лица; деца и пълнолетни лица от уязвими общности или групи; техните семейства и близки",Л-3129-1924/11.06.2024 г.,10.06.2029 г.,,,,,
"""СЕНС КЛУБ"" ЕООД",207741331,Столична,гр. София,"район ""Витоша"", ул. ""Никола Петков"" № 95А",Застъпничество и посредничество; Информиране и консултиране; Обучение за придобиване на умения; Терапия и рехабилитация,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; деца и пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; лица, които полагат грижи за пълнолетни лица; техните семейства и близки",Л-3129-1926/17.06.2024 г.; Л-3129-1927/17.06.2024 г.; Л-3129-1928/17.06.2024 г.; Л-3129-1929/17.06.2024 г.,16.06.2029 г.,,,,,
"""АЙ ВИ ДЖИ ГРУП"" ЕООД",207725658,Столична,гр. София,"ж.к. Люлин 3, бл. 369, ет. 4, ап. 22",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1930/18.06.2024 г.,17.06.2029 г.,,,,,"АКД-50/29.09.2025 - чл. 134, ал. 3 от ЗСУ, допуснато интегрирано предоставяне на отделни социални услуги за резидента грижа в обща специализирана среда; сключено споразумение за прекратяване на админ. производство с № С-АНП-27/08.10.2025"
"""ФИНЕСТ ЛЕО"" ЕООД",200036913,Първомай,гр. Първомай,"ул. ""Любен Каравелов"" № 1",Информиране и консултиране; Терапия и рехабилитация; Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1938/25.06.2024 г.; Л-3129-1939/25.06.2024 г.; Л-3129-1940/25.06.2024 г.,24.06.2029 г.,,,,,
"""БЛАГОДЕНСТВИЕ 2"" ООД",207165234,Септември,с. Симеоновец,"ул. ""Десета"" № 27",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1941/01.07.2024 г.,30.06.2029 г.,,,,,
"ФОНДАЦИЯ ""БЪДНИНА ЗА ВСЕКИ""",206949518,Столична,гр. София,"р-н Оборище, ул. ""Искър"" № 22",Застъпничество и посредничество; Информиране и консултиране,Възрастни хора в надтрудоспособна възраст; пълнолетни лица с увреждания; техните семейства и близки,Л-3129-1942/01.07.2024 г.; Л-3129-1943/01.07.2024 г.,30.06.2029 г.,,,,,
"СДРУЖЕНИЕ ""СДРУЖЕНИЕ С ОБЩЕСТВЕНО ПОЛЕЗНА ДЕЙНОСТ С НАИМЕНОВАНИЕ ""ТЕОСИС""",176875621,Русе,гр. Русе,пл. Света Троица № 9,Информиране и консултиране; Общностна работа; Асистентска подкрепа; Застъпничество и посредничество; Терапия и рехабилитация; Обучение за придобиване на умения,"Деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; деца и пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; възрастни хора в надтрудоспособна възраст; техните семейства и близки",Л-3129-1956/17.07.2024 г.; Л-3129-1957/17.07.2024 г.; Л-3129-1958/17.07.2024 г.; Л-3129-2028/04.12.2024 г.; Л-3129-2029/04.12.2024 г.; Л-3129-2030/04.12.2024 г.,16.07.2029 г.,,,,,
"""24 ПРОФИАСИСТ"" ЕООД",207817010,Ямбол,гр. Ямбол,"ул. ""Добри Войвода"" № 18",Асистентска подкрепа,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат определена по съответния ред степен на намалена работоспособност",Л-3129-1959/17.07.2024 г.,16.07.2029 г.,,,,,
"ФОНДАЦИЯ ""ЗДРАВО БЕБЕ, ЗДРАВО БЪДЕЩЕ""",207803345,Столична,гр. София,"р-н Триадица, бул. ""Витоша"" № 24",Информиране и консултиране; Застъпничество и посредничество; Общностна работа; Обучение за придобиване на умения; Терапия и рехабилитация,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; деца с увреждания; лица в кризисна ситуация-бременни жени и майки в риск да изоставят децата си; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; техните семейства и близки",Л-3129-1960/19.07.2024 г.; Л-3129-1961/19.07.2024 г.; Л-3129-1962/19.07.2024 г.; Л-3129-1964/19.07.2024 г.; Л-3129-2146/15.10.2025 г.,18.07.2029 г.,,,,,
"СДРУЖЕНИЕ ""СДРУЖЕНИЕ ДЕЦА И ОКОЛНА СРЕДА""",176514514,Русе,гр. Русе,"ул. ""Плевен"" № 1, бл. ""Мара Манева"", вх. Г, ет. 8",Терапия и рехабилитация; Информиране и консултиране; Обучение за придобиване на умения,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; деца и пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; възрастни хора в надтрудоспособна възраст; лица, които полагат грижи за пълнолетни лица; деца и пълнолетни лица от уязвими общности или групи; техните семейства и близки",Л-3129-1965/22.07.2024 г.; Л-3129-1966/22.07.2024 г.; Л-3129-1967/22.07.2024 г.,21.07.2029 г.,,,,,
"""ХОСПИС 50 ПЛЮС"" ООД",200919544,Перник,гр. Перник,"ул. ""Владислав Граматик"" № 69",Резидентна грижа,Възрастни хора в невъзможност за самообслужване с потребност от постоянни медицински грижи,Л-3129-1970/24.07.2024 г.,23.07.2029 г.,,,,,
"""МИШЕЛ ДАМЛА"" ООД",204268688,Варна,гр. Варна,"р-н ""Одесос"", ул. ""Макгахан"" № 22",Резидентна грижа,Пълнолетни лица с деменция,Л-3129-1972/31.07.2024 г.,30.07.2029 г.,,,,,
"""ЦЕНТЪР ЗА КОМПЛЕКСНО ОБСЛУЖВАНЕ НА ДЕЦА С УВРЕЖДАНИЯ И ХРОНИЧНИ ЗАБОЛЯВАНИЯ - БЛАГОЕВГРАД""",177477104,Благоевград,гр. Благоевград,"ул. ""Трети март"" № 57",Терапия и рехабилитация; Резидентна грижа,"Деца с увреждания и хронични заболявания; деца с агресивно и проблемно високорисково поведение и потребност от здравни грижи; деца в риск по смисъла на Закона за закрила на детето, а ако учат - до завършване на средно образование, но не повече от 20-годишна възраст; техните семейства и близки",Л-3129-1973/06.08.2024 г.; Л-3129-1974/06.08.2024 г.,05.08.2029 г.,,,,,
"""ПРОГРЕСО ТЕРАПИ"" ООД",206742665,Столична,гр. Банкя,"ул. ""Кирил и Методий"" № 11",Застъпничество и посредничество; Терапия и рехабилитация; Информиране и консултиране; Резидентна грижа,"Пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация, вследствие на употреба на психоактивни вещества и други форми на зависимост",Л-3129-1975/07.08.2024 г.; Л-3129-1976/07.08.2024 г.; Л-3129-1977/07.08.2024 г.; Л-3129-1978/07.08.2024 г.,06.08.2029 г.,,,,,
"""ХИГИА ГРУП"" ЕООД",207878198,Столична,гр. София,"район Средец, ул. ""Леге"" № 3",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1980/09.08.2024 г.,08.08.2029 г.,,,,,
"""ХОСПИС БЕЗДЕН"" ЕООД",200438901,Столична,с. Владая,"ул. ""Академик Петко Стайнов"" № 12",Резидентна грижа; Терапия и рехабилитация,Възрастни хора в невъзможност за самообслужване с потребност от постоянни медицински грижи,Л-3129-1981/12.08.2024 г.; Л-3129-2027/03.12.2024 г.,11.08.2029 г.,,,,,
"ФОНДАЦИЯ ""ФОНДАЦИЯ ДОН БОСКО БЪЛГАРИЯ""",123765163,Стара Загора,гр. Стара Загора,"ул. ""Захарий Княжески"" № 71",Обучение за придобиване на умения; Общностна работа; Застъпничество и посредничество; Информиране и консултиране,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; деца и пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; лица, които полагат грижи за пълнолетни лица; деца и пълнолетни лица от уязвими общности или групи; техните семейства и близки",Л-3129-1982/12.08.2024 г.; Л-3129-1983/12.08.2024 г.; Л-3129-1984/12.08.2024 г.; Л-3129-1985/12.08.2024 г.,11.08.2029 г.,,,,,
